,Skill,ExpSalary
256,Java Spring Framework,-16238.053439144409
257,AWS,-23732.82903555667
258,Microsoft Office,-170407.14306679816
259,XML,-247398.17159333004
260,Обработка резюме,-8225.80645161256
261,Рекрутмент,17580.645161289423
262,.NET Core,125427.23276390445
263,ASP.NET,36230.2188726736
264,Vite,6547.393969056473
265,Flutter Bloc,143460.68007811336
266,Flutter Riverpod,143460.6800781156
267,Разработка мобильных приложений,-490418.4209948468
268,Графический дизайн,4.956746124662459e-11
269,TDD/BDD,296155.9444556787
270,DDD,296155.944455678
271,Amazon EKS,318789.0103886038
272,Microsoft PowerPoint,-25950.736447999683
273,Active Record,129194.30762866847
274,Верстка лендингов,173090.01961321128
275,TailwindCSS,-75051.20155473697
276,Pixel-perfect,173090.0196132125
277,Тестирование мобильных приложений,110708.75952150057
278,Баг-трекинг,-257800.78817943172
279,Тестирование методом свободного поиска,36486.19380602694
280,Разработка тест-кейсов,39348.6619787064
281,TestRail,55622.88524105479
282,WPF,238524.7899817713
283,Signalr,-29866.81566521541
284,Xamarin,-29866.81566521654
285,Prism,-29866.815665214424
286,SQLite,-29866.815665215676
287,ASP.NET WEB API,-29866.815665215247
288,Яндекс Трекер,-29866.815665216043
289,Поиск талантов,24838.709677418778
290,3ds Max,121386.47353139093
291,GIMP,121386.4735313913
292,Sketch,-273991.1300263976
293,Разработка программного обеспечения,184009.32428657103
294,Email маркетинг,-151702.922571103
295,Стратегический маркетинг,96079.00663934606
296,Разработка SEO-стратегии,95623.91593175837
297,B2G,-160390.96624453767
298,Swift,-77612.38168924022
299,SEO-оптимизация,-116901.55795253477
300,SEO-аудит сайтов,-39801.36461856883
301,Dagger 2,70350.1309970685
302,Android NDK,90059.27678881513
303,Android User Interface Guidelines,90059.27678881426
304,Модерирование,-134448.06584526895
305,Руководитель проектов 1С,-22806.698207196678
306,C,-40754.46650980642
307,Тестирование сайтов,-77952.5274740119
308,Black box testing,-33748.85432745555
309,ERM,28297.07742889607
310,Apache Superset,33002.63295967591
311,Клиент-серверные приложения,440418.4209948478
312,Дизайн игр,-121702.92257110366
313,A/B тестирование,62530.02066161625
314,Windows Azure,355090.2023146055
315,Системное администрирование,-640721.1965787775
316,Тестирование на проникновение,355090.2023146061
317,Дизайн продукта,-355694.05259750114
318,Тестирование дизайна,298405.84514221444
319,Управление требованиями к ПО,-144552.67863590797
320,Создание чат-ботов,54345.04010842503
321,Keras,54345.040108425856
322,Sass,269528.2918455042
323,NestJS,-186996.25953604357
324,TypeORM,151880.73244497177
325,Nginx,62742.76250108085
326,Socket.io,73303.51431069075
327,Публичные выступления,887.785637285484
328,Проведение исследований,887.7856372861534
329,GitLab,-34064.40543196752
330,HTML-приложения,34793.43260643141
331,Waterfall,34793.432606431525
332,PostCSS,181496.04823775234
333,Юриспруденция,-38499.870002021475
334,Защита информации,-111198.18966997263
335,SMM,-228202.92257110385
336,Таргетированная реклама,179081.14516138466
337,DeFi,40621.90740769668
338,Elixir,114148.53871444866
339,Phoenix,114148.53871444764
340,Презентации,117472.97141502323
341,Руководство стартапом,-151767.09821174937
342,Стратегическое управление,374984.9583772468
343,Построение команды,-494753.8393592286
344,Администрирование Windows,52237.514482767874
345,Active directory,-91437.08279202059
346,Настройка и ремонт компьютерной техники,40135.63433775467
347,Настройка и наладка оборудования,40135.634337754294
348,Проектирование взаимодействия,-1856.4446580308686
349,Wireframes,-1856.4446580306394
350,Tilda,-53630.143658902525
351,Charles,-73650.16496769375
352,NLU,28235.127091962764
353,Reinforcement learning,28235.12709196269
354,Большие данные,-525791.159845041
355,Osi model,279194.30410801247
356,Sentry,519077.59533785365
357,Cisco CCNP,370207.21070757764
358,Confluence,126911.70188156265
359,Редактура и корректура,-41559.52256795534
360,Ведение блога,-41559.52256795467
361,Написание сценариев,-41559.52256795466
362,Текстовый перевод,-41559.522567955064
363,Проведение интервью,-41559.52256795434
364,Angular.js,531967.0367981731
365,Angular,-14916.263836174265
366,ETL,-30321.12688859846
367,Apache NiFi,-30321.126888599523
368,Дизайн мобильных приложений,39999.999999998145
369,RxJava 2,-22227.279037711953
370,Clean Architecture,-41936.42482945655
371,Hibernate,-132043.4242579662
372,Автоматизация тестирования,-28877.93170772832
373,Обеспечение качества,-83908.83403603057
374,Нагрузочное тестирование,-51025.85273720353
375,Apache JMeter,-11550.405698899394
376,Microsoft SQL,-55914.78981994088
377,PowerBI,156359.7157211886
378,Adobe After Effects,-610694.0525975074
379,Pytest,35894.21089327306
380,Лидогенерация,999.6204996183369
381,Внутренняя и внешняя оптимизация,294365.7559486286
382,Google Cloud Platform,252624.14549132643
383,Разработка под iOS,-35738.20813460061
384,Разработка бизнес-стратегии,5604.442868633372
385,Маркетинговые исследования,-53333.49322692564
386,Многопоточность,797332.1196391113
387,Решение проблем,-177534.87442595954
388,Дизайн-система,-82343.03297496616
389,AutoCAD,12403.008574315023
390,SolidWorks,-49649.9569983939
391,АСУ ТП,-136867.86617454042
392,Posix,-280921.6363255773
393,Oracle PL/SQL,6177.459746466688
394,Ahrefs,-54815.481278047955
395,Semrush,-54815.48127804918
396,Google Search Console,-54815.481278048945
397,Protobuf,79689.03391353221
398,AIOHTTP,-154505.22006636983
399,Создание telegram-ботов,71622.55439657922
400,ER-диаграммы,259494.1104065515
401,Телекоммуникации,-400373.3131687927
402,Мониторинг и анализ рынка,400251.7725683579
403,Обработка естественного языка,-154304.7158986986
404,Twitter Bootstrap,-87185.45239243914
405,Xen,-376902.9250132452
406,Контекстная реклама,78954.49308092878
407,Яндекс директ,13101.934040861022
408,Проектирование баз данных,-532960.6195303986
409,2d-графика,41042.76779551047
410,Графика для игр,41042.76779551042
411,Цифровая живопись,41042.76779551076
412,Арт-директинг,41042.76779551045
413,SSDL,571998.8173466385
414,Управление рисками,146821.35869633785
415,Электронная коммерция,51146.6254472912
416,SAS,-10822.540253533269
417,Создание архитектуры проектов,-60841.21088930153
418,Разработка продукта,-66224.88440265416
419,Генерация идей,-41707.030580649014
420,Продажи HR-услуг,-2290.831822025122
421,Прикладная математика,-72646.9639468797
422,Медиапланирование,-16394.853497581607
423,Яндекс.Метрика,-71984.07520650775
424,Монтаж систем связи,-103702.9225711038
425,SOA,-155871.60010328738
426,ELK Stack,363548.20032664435
427,ГОСТ,-75765.58902049447
428,Научно-исследовательская работа,-75765.58902049388
429,Assembler,40788.88802128199
430,WinDbg,40788.888021281324
431,IDA Pro,40788.88802128246
432,Camunda,291777.03093021584
433,ArchiMate,291777.0309302154
434,Управление продуктами,-5383.673513353541
435,Разработка продуктовой стратегии,-5383.673513352639
436,Проектирование,-49848.68440728889
437,OWASP,606631.4993494945
438,Qt,-35516.655248817304
439,Apollo,114539.75728734098
440,Сеть хранения данных,-35800.4794018907
441,Blockchain,100390.3044773825
442,Solana,100390.30447738274
443,Bitcoin,100390.30447738303
444,Ethereum,100390.30447738222
445,API Интерфейсы,19760.22833260014
446,Metabase,-171872.50315096806
447,1С: Смета,60990.32217440981
448,TeamCity,-151854.49896581098
449,SVN,-151854.4989658109
450,Sharepoint,-51773.699000872206
451,IIS,-51773.69900087132
452,MobX,-73259.71666960663
453,Asyncio,-226127.77446294972
454,WebRTC,7740.014696611539
455,Svelte.js,7740.0146966112625
456,Объектно-ориентированное проектирование,-405209.79699391767
457,Исследование рынка,51588.62562810064
458,Связи с общественностью,152634.9567986909
459,Медийная реклама,101046.33117058965
460,Создание креативных концепций,101046.3311705893
461,Повышение конверсии,-192774.89498600425
462,Стратегическое планирование,-427036.31390565546
463,Организация работы с CRM,-119449.6517466665
464,B2C,221837.10618368047
465,Организация бизнес-процессов,221837.10618368085
466,Построение бизнес-моделей,-57993.90680523131
467,Unit-экономика,-57993.90680523061
468,Бизнес-моделирование,-57993.90680523084
469,Моделирование,-57993.90680523116
470,Мониторинг,-252309.40493672356
471,Администрирование серверов,-252309.40493672356
472,Мониторинг сетей,-252309.4049367231
473,Подбор команды,39416.198758624756
474,Адаптация персонала,39416.19875862419
475,Развитие сотрудников,39416.19875862422
476,Обучение персонала,39416.19875862432
477,Управление компанией,524163.12911704223
478,OpenCV,-124103.23322214541
479,Deep Learning,-124103.23322214533
480,ЕСКД,-62052.96557271001
481,Allure,137431.50264172198
482,Web 3.0,468339.4920261358
483,Персональные данные,-161702.92257110428
484,Apache,76950.72979978877
485,Scada,-99422.19034156729
486,Программирование микроконтроллеров,-99422.19034156729
487,Управление IT-услугами,163263.6743549776
488,Kotlin Multiplatform,-2812.4346748047687
489,Miro,-117182.25597472045
490,Продуктовый маркетинг,-5149.352161047646
491,Разработка креативных стратегий коммуникаций,-5149.352161047646
492,Стратегические коммуникации,-5149.352161047646
493,Разработка решений по интеграции,-240749.14421684606
494,ASP.NET MVC,208315.36551191605
495,{{SYSTEM}} Свободный коэффициент,271702.9225711046
